FID,SHED_NAME,MEAN_YEAR_10X_GT
0,Aasu,2044
1,Afao - Asili,2037
2,Afono,2040
3,Alao,2038
4,Alega,2041
5,Amanave,2038
6,Amouli,2038
7,Aoloau Sasae,2044
8,Aoloau Sisifo,2044
9,Auasi,2038
10,Fagaalu,2041
11,Fagaitua,2040
12,Fagalii,2038
13,Fagamalo,2044
14,Fagasa,2039
15,Fagatele - Larsen,2040
16,Fagatuitui - Vaaogeoge,2039
17,Laulii - Aumi,2041
18,Leone,2037
19,Maloata,2038
20,Masausi,2040
21,Masefau,2040
22,Matuu - Faganeanea,2039
23,Nua - Seetaga,2037
24,Nuuuli Pala,2039
25,Onenoa,2038
26,Outer Banks,2040
27,Pago Pago Harbor,2040
28,Poloa,2038
29,Sailele,2038
30,Tafuna Plain,2040
31,Tula,2038
32,Vatia,2040
