biocat,nstrat,n,wavsz,se_wsz,wcv_sz
ACAS,4,18,NA,NA,NA
ACSP,4,18,22.9048,3.1081,13.57
ALSP,4,18,1.1,NA,NA
ASSP,4,18,6.6258,0.4617,6.97
COES,4,18,NA,NA,NA
COSP,4,18,14.8,0.1553,1.05
CYPS,4,18,3.9226,0.6705,17.09
CYSP,4,18,7.729,0.0912,1.18
DIAS,4,18,NA,NA,NA
DISP,4,18,NA,NA,NA
ECHL,4,18,1.8,NA,NA
ECHP,4,18,9.7492,0.2308,2.37
EUSP,4,18,5.7226,NA,NA
FASP,4,18,6.8419,0.0906,1.32
FAVS,4,18,4.2581,NA,NA
FUSP,4,18,10.1038,0.746,7.38
GARS,4,18,3,NA,NA
GASP,4,18,8.0815,0.4043,5
GONS,4,18,12.8084,1.6948,13.23
HASP,4,18,5.4581,NA,NA
HERS,4,18,NA,NA,NA
HYSP,4,18,9.7226,4.1346,42.53
ISSP,4,18,12.9141,0.8249,6.39
LEPS,4,18,20.8516,NA,NA
LEPT,4,18,16.1917,2.3191,14.32
LESP,4,18,5.1903,0.4856,9.36
LOBS,4,18,3.0968,NA,NA
MESP,4,18,14.329,NA,NA
MISP,4,18,3.6387,NA,NA
MONS,4,18,8.6468,0.5473,6.33
MOSP,4,18,15.6515,0.7568,4.84
OXSP,4,18,NA,NA,NA
PACS,4,18,3.5323,0.1532,4.34
PAVS,4,18,15.7466,1.1217,7.12
PLER,4,18,NA,NA,NA
PLES,4,18,NA,NA,NA
PLSP,4,18,NA,NA,NA
POCS,4,18,13.1977,1.259,9.54
POSP,4,18,20.5651,3.6557,17.78
PSSP,4,18,11.2947,0.9729,8.61
SASP,4,18,NA,NA,NA
SCAS,4,18,NA,NA,NA
SESP,4,18,1.8,NA,NA
STSP,4,18,NA,NA,NA
SYSP,4,18,5.0323,NA,NA
TURS,4,18,NA,NA,NA
