gencode,strat,n,wavdns,se_wdns,wcv_dns,wavp,se_wp,abd,se_abd
ACAS,6,18,0.0203,0.0182,89.87,0.0580,0.0422,4666.67,4194.02
ACSP,6,18,1.7346,0.7524,43.38,0.7065,0.0556,398948.41,173058.39
ALSP,6,18,0.0014,0.0014,99.84,0.0136,0.0136,312.50,312.00
ASSP,6,18,0.0057,0.0020,35.85,0.0571,0.0205,1312.50,470.47
COES,6,18,0.0036,0.0036,99.94,0.0362,0.0362,833.33,832.83
COSP,6,18,0.0058,0.0042,72.84,0.0580,0.0422,1333.33,971.14
CYPS,6,18,0.0226,0.0121,53.41,0.1069,0.0445,5208.33,2781.53
CYSP,6,18,0.0363,0.0260,71.64,0.0978,0.0590,8357.14,5986.77
DIAS,6,18,0.0024,0.0024,99.91,0.0236,0.0235,541.67,541.17
DISP,6,18,0.0014,0.0014,99.84,0.0136,0.0136,312.50,312.00
ECHL,6,18,0.0050,0.0039,77.62,0.0498,0.0387,1145.83,889.36
ECHP,6,18,0.0096,0.0071,74.19,0.0870,0.0634,2214.29,1642.70
EUSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FASP,6,18,0.0604,0.0282,46.71,0.2926,0.0812,13880.95,6483.77
FAVS,6,18,0.0035,0.0026,72.48,0.0353,0.0256,812.50,588.93
FUSP,6,18,0.1201,0.0833,69.34,0.1993,0.0693,27619.05,19150.09
GARS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
GASP,6,18,0.4753,0.3180,66.90,0.5027,0.0727,109326.39,73139.64
GONS,6,18,0.2014,0.0534,26.49,0.5100,0.0512,46324.40,12272.97
HASP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HERS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HYSP,6,18,0.0087,0.0063,72.88,0.0870,0.0634,2000.00,1457.57
ISSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LEPS,6,18,0.0203,0.0096,47.43,0.1304,0.0634,4666.67,2213.17
LEPT,6,18,0.0745,0.0460,61.67,0.1848,0.0673,17145.83,10573.80
LESP,6,18,0.1014,0.0484,47.75,0.1848,0.0532,23312.50,11131.65
LOBS,6,18,0.0041,0.0033,80.26,0.0272,0.0211,937.50,752.39
MESP,6,18,0.1491,0.1361,91.29,0.0652,0.0595,34285.71,31298.43
MISP,6,18,0.4207,0.2986,71.00,0.3179,0.0901,96750.00,68687.72
MONS,6,18,0.0436,0.0142,32.66,0.2428,0.0557,10027.78,3274.75
MOSP,6,18,1.8352,0.3745,20.40,0.8161,0.0435,422102.18,86125.54
OXSP,6,18,0.0041,0.0041,99.84,0.0136,0.0136,937.50,936.00
PACS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PAVS,6,18,1.7400,0.3680,21.15,0.8207,0.0643,400210.32,84637.19
PLER,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLES,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLSP,6,18,0.0054,0.0045,83.62,0.0272,0.0211,1250.00,1045.23
POCS,6,18,1.0559,0.3132,29.66,0.7573,0.0852,242861.11,72025.78
POSP,6,18,2.8711,0.4920,17.14,0.8659,0.0693,660352.18,113156.07
PSSP,6,18,0.0860,0.0566,65.88,0.2926,0.0908,19770.83,13025.89
SASP,6,18,0.0075,0.0068,91.29,0.0652,0.0595,1714.29,1564.92
SCAS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SESP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
STSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SYSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
TURS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
