gencode,gencode,strat,n,wavdns,se_wdns,wcv_dns,wavp,se_wp,abd,se_abd
ACAS,ACAS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ACSP,ACSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ALSP,ALSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ASSP,ASSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
COES,COES,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
COSP,COSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
CYPS,CYPS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
CYSP,CYSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
DIAS,DIAS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
DISP,DISP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ECHL,ECHL,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ECHP,ECHP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
EUSP,EUSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FASP,FASP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FAVS,FAVS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FUSP,FUSP,6,18,0.0107,0.0066,61.91,0.0978,0.0590,2464.29,1525.68
GARS,GARS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
GASP,GASP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
GONS,GONS,6,18,0.0123,0.0073,59.25,0.1232,0.0730,2833.33,1678.72
HASP,HASP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HERS,HERS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HYSP,HYSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ISSP,ISSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LEPS,LEPS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LEPT,LEPT,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LESP,LESP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LOBS,LOBS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MESP,MESP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MISP,MISP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MONS,MONS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MOSP,MOSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
OXSP,OXSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PACS,PACS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PAVS,PAVS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLER,PLER,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLES,PLES,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLSP,PLSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
POCS,POCS,6,18,0.0164,0.0081,49.67,0.1422,0.0689,3770.83,1872.99
POSP,POSP,6,18,0.0024,0.0024,99.91,0.0236,0.0235,541.67,541.17
PSSP,PSSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SASP,SASP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SCAS,SCAS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SESP,SESP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
STSP,STSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SYSP,SYSP,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
TURS,TURS,6,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
