gencode,strat,n,wavdns,se_wdns,wcv_dns,wavp,se_wp,abd,se_abd
ACAS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ACSP,4,18,0.5900,0.1536,26.03,0.8976,0.0344,228624.69,59513.40
ALSP,4,18,0.0050,0.0050,99.95,0.0250,0.0250,1937.50,1936.50
ASSP,4,18,0.0241,0.0118,49.07,0.1577,0.0550,9344.80,4585.91
COES,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
COSP,4,18,0.0262,0.0116,44.45,0.1263,0.0549,10143.75,4509.08
CYPS,4,18,0.0113,0.0072,63.48,0.0637,0.0349,4373.62,2776.42
CYSP,4,18,0.0227,0.0119,52.38,0.1892,0.0863,8800.00,4609.11
DIAS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
DISP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ECHL,4,18,0.0025,0.0025,99.95,0.0250,0.0250,968.75,968.25
ECHP,4,18,0.0284,0.0190,66.72,0.1581,0.0771,11020.83,7353.34
EUSP,4,18,0.0044,0.0032,71.24,0.0444,0.0316,1718.75,1224.44
FASP,4,18,0.0270,0.0176,64.97,0.1244,0.0574,10473.62,6804.60
FAVS,4,18,0.0019,0.0019,99.93,0.0194,0.0193,750.00,749.50
FUSP,4,18,0.0823,0.0325,39.50,0.3416,0.0720,31900.70,12600.20
GARS,4,18,0.0025,0.0025,99.95,0.0250,0.0250,968.75,968.25
GASP,4,18,0.0825,0.0261,31.63,0.4826,0.0806,31983.33,10115.57
GONS,4,18,0.2491,0.0683,27.41,0.7213,0.0758,96517.37,26460.11
HASP,4,18,0.0038,0.0038,99.97,0.0379,0.0379,1468.75,1468.25
HERS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HYSP,4,18,0.0079,0.0044,55.36,0.0637,0.0349,3046.18,1686.47
ISSP,4,18,0.3487,0.3167,90.83,0.2252,0.0939,135114.93,122725.90
LEPS,4,18,0.0090,0.0052,58.17,0.0747,0.0438,3471.18,2019.08
LEPT,4,18,0.2559,0.1050,41.03,0.5865,0.1051,99149.72,40678.58
LESP,4,18,0.0448,0.0146,32.61,0.1911,0.0367,17373.62,5665.14
LOBS,4,18,0.0026,0.0026,99.93,0.0194,0.0193,1000.00,999.33
MESP,4,18,0.0231,0.0145,62.80,0.0932,0.0546,8966.67,5631.11
MISP,4,18,0.0076,0.0076,99.97,0.0379,0.0379,2937.50,2936.50
MONS,4,18,0.0488,0.0270,55.26,0.2195,0.0928,18918.77,10453.82
MOSP,4,18,6.3271,1.2155,19.21,1.0000,0.0000,2451756.80,471020.96
OXSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PACS,4,18,0.0090,0.0055,61.41,0.0581,0.0362,3500.00,2149.34
PAVS,4,18,0.6924,0.1463,21.13,0.9177,0.0493,268295.17,56696.03
PLER,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLES,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
POCS,4,18,0.4139,0.0993,23.98,0.8153,0.0573,160382.67,38464.39
POSP,4,18,3.4756,0.5322,15.31,0.9807,0.0193,1346806.25,206225.97
PSSP,4,18,0.1849,0.0436,23.59,0.6092,0.1052,71655.57,16903.94
SASP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SCAS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SESP,4,18,0.0025,0.0025,99.95,0.0250,0.0250,968.75,968.25
STSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SYSP,4,18,0.0019,0.0019,99.93,0.0194,0.0193,750.00,749.50
TURS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
