SPECIES,Climate_susceptibility,SCIENTIFIC_NAME,TAXONNAME,LMAX,TROPHIC
ABSX,High,Abudefduf sexfasciatus,Abudefduf sexfasciatus,15,Pk
ABVA,Very low,Abudefduf vaigiensis,Abudefduf vaigiensis,20,Pk
ACAC,Negligible,Acanthurus achilles,Acanthurus achilles,25,H
ACBL,Negligible,Acanthurus blochii,Acanthurus blochii,43,H
ACGU,Negligible,Acanthurus guttatus,Acanthurus guttatus,29,H
ACLI,Negligible,Acanthurus lineatus,Acanthurus lineatus,38,H
ACMT,Very low,Acanthurus mata,Acanthurus mata,50,Pk
ACNC,Negligible,Acanthurus nigricans,Acanthurus nigricans,23,H
ACNF,Negligible,Acanthurus nigrofuscus,Acanthurus nigrofuscus,23,H
ACNR,Negligible,Acanthurus nigroris,Acanthurus nigroris,25,H
ACPY,Negligible,Acanthurus pyroferus,Acanthurus pyroferus,25,H
ACTH,Very low,Acanthurus thompsoni,Acanthurus thompsoni,28,Pk
AMCH,High,Amphiprion chrysopterus,Amphiprion chrysopterus,17,Pk
AMME,High,Amphiprion melanopus,Amphiprion melanopus,10.8,Pk
AMSC,Low,Amanses scopas,Amanses scopas,20,Cor
ANCA,Very low,Anampses caeruleopunctatus,Anampses caeruleopunctatus,42,MI
APFU,Very low,Aphareus furca,Aphareus furca,70,Pisc
AUCH,Very low,Aulostomus chinensis,Aulostomus chinensis,80,Pisc
BAUN,Very low,Balistapus undulatus,Balistapus undulatus,30,MI
BLEN,High,,Blenniidae,16.6,Pk
BOAX,Very low,Bodianus axillaris,Bodianus axillaris,20,MI
CAAM,Medium,Canthigaster amboinensis,Canthigaster amboinensis,14,H
CADU,Low,Cantherhines dumerilii,Cantherhines dumerilii,38,Om
CAME,Very low,Caranx melampygus,Caranx melampygus,117,Pisc
CAOR,Very low,Carangoides orthogrammus,Carangoides orthogrammus,70,Pisc
CAPA,Negligible,Cantherhines pardalis,Cantherhines pardalis,25,H
CARD,High,,Apogonidae,16,Pk
CASO,Medium,Canthigaster solandri,Canthigaster solandri,11,H
CEAR,Very low,Cephalopholis argus,Cephalopholis argus,60,Pisc
CEBC,Medium,Centropyge bicolor,Centropyge bicolor,15,H
CEBI,Medium,Centropyge bispinosa,Centropyge bispinosa,10,H
CEFL,Medium,Centropyge flavissima,Centropyge flavissima,14,H
CEOC,Negligible,Cetoscarus ocellatus,Cetoscarus ocellatus,90,H
CEUR,Very low,Cephalopholis urodeta,Cephalopholis urodeta,28,Pisc
CHAM,Medium,Chromis amboinensis,Chromis amboinensis,8,H
CHBE,High,Chaetodon bennetti,Chaetodon bennetti,18,MI
CHBR,Medium,Chrysiptera brownriggii,Chrysiptera brownriggii,9,H
CHCI,Very high,Chaetodon citrinellus,Chaetodon citrinellus,13,Cor
CHCL,Very low,Cheilinus chlorourus,Cheilinus chlorourus,32,MI
CHCY,High,Chrysiptera cyanea,Chrysiptera cyanea,8,Pk
CHEP,Negligible,Chaetodon ephippium,Chaetodon ephippium,23,MI
CHFA,Very low,Cheilinus fasciatus,Cheilinus fasciatus,36,MI
CHIO,Medium,Chromis iomelas,Chromis iomelas,8,H
CHJA,Negligible,Chlorurus japanensis,Chlorurus japanensis,31,H
CHJO,High,,Choerodon jordani,18,Om
CHLT,Very high,Chaetodon lunulatus,Chaetodon lunulatus,15,Cor
CHLU,Negligible,Chaetodon lunula,Chaetodon lunula,21,SI
CHMA,High,Chromis margaritifer,Chromis margaritifer,8,Pk
CHMC,Negligible,Chlorurus microrhinos,Chlorurus microrhinos,80,H
CHMR,Medium,Chaetodon mertensii,Chaetodon mertensii,13,H
CHOR,Very high,Chaetodon ornatissimus,Chaetodon ornatissimus,20,Cor
CHOX,High,Cheilinus oxycephalus,Cheilinus oxycephalus,17,MI
CHPW,Very high,Chaetodon pelewensis,Chaetodon pelewensis,13,Cor
CHQN,High,Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,12,MI
CHRE,Very high,Chaetodon reticulatus,Chaetodon reticulatus,18,Cor
CHSE,Negligible,Chaetodon semeion,Chaetodon semeion,24,H
CHSO,Negligible,Chlorurus sordidus,Chlorurus sordidus,40,H
CHTA,Medium,Chrysiptera taupou,Chrysiptera taupou,8,H
CHTL,Very low,Cheilinus trilobatus,Cheilinus trilobatus,45,MI
CHTR,Very high,Chaetodon trifascialis,Chaetodon trifascialis,18,Cor
CHUB,Negligible,,Kyphosus sp,75,H
CHUL,High,Chaetodon ulietensis,Chaetodon ulietensis,15,MI
CHVA,High,Chromis vanderbilti,Chromis vanderbilti,15,Pk
CHVG,Very low,Chaetodon vagabundus,Chaetodon vagabundus,23,SI
CHVR,High,Chromis viridis,Chromis viridis,8,Pk
CHXA,High,Chromis xanthura,Chromis xanthura,15,Pk
CIEX,High,Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,12,Pk
CIPI,Negligible,Cirrhitus pinnulatus,Cirrhitus pinnulatus,30,MI
CISP,Medium,,Cirripectes sp,10,H
CIVR,Medium,Cirripectes variolosus,Cirripectes variolosus,10,H
CTCY,Negligible,Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,20,H
CTFL,Medium,Ctenochaetus flavicauda,Ctenochaetus flavicauda,17,H
CTSR,Negligible,Ctenochaetus striatus,Ctenochaetus striatus,28,H
