SPECIES,Climate_susceptibility,SCIENTIFIC_NAME,TAXONNAME,LMAX,TROPHIC
ABSX,High,Abudefduf sexfasciatus,Abudefduf sexfasciatus,15,Pk
ACAC,Negligible,Acanthurus achilles,Acanthurus achilles,25,H
ACAL,Negligible,Acanthurus albipectoralis,Acanthurus albipectoralis,33,H
ACBL,Negligible,Acanthurus blochii,Acanthurus blochii,43,H
ACGU,Negligible,Acanthurus guttatus,Acanthurus guttatus,29,H
ACLI,Negligible,Acanthurus lineatus,Acanthurus lineatus,38,H
ACMA,Negligible,Acanthurus maculiceps,Acanthurus maculiceps,41,H
ACNC,Negligible,Acanthurus nigricans,Acanthurus nigricans,23,H
ACNF,Negligible,Acanthurus nigrofuscus,Acanthurus nigrofuscus,23,H
ACNI,Negligible,Acanthurus nigricauda,Acanthurus nigricauda,40,H
ACNR,Negligible,Acanthurus nigroris,Acanthurus nigroris,25,H
ACOL,Negligible,Acanthurus olivaceus,Acanthurus olivaceus,40,H
ACPY,Negligible,Acanthurus pyroferus,Acanthurus pyroferus,25,H
ACSP,Negligible,,Acanthurus sp,57,H
ACTH,Very low,Acanthurus thompsoni,Acanthurus thompsoni,28,Pk
ACTR,Negligible,Acanthurus triostegus,Acanthurus triostegus,27,H
ACXA,Negligible,Acanthurus xanthopterus,Acanthurus xanthopterus,65,H
AMCH,High,Amphiprion chrysopterus,Amphiprion chrysopterus,17,Pk
AMSC,Low,Amanses scopas,Amanses scopas,20,Cor
ANCA,Very low,Anampses caeruleopunctatus,Anampses caeruleopunctatus,42,MI
ANLE,Very low,Anyperodon leucogrammicus,Anyperodon leucogrammicus,60,Pisc
ANME,High,Anampses melanurus,Anampses melanurus,12,MI
ANMG,Very low,Anampses meleagrides,Anampses meleagrides,22,MI
ANSP,Very low,,Anampses sp,20,MI
ANTW,High,Anampses twistii,Anampses twistii,18,MI
APAN,High,Apogon angustatus,Apogon angustatus,9,Pk
APFU,Very low,Aphareus furca,Aphareus furca,70,Pisc
APSP,High,,Apogon sp,16,Pk
APTR,Very low,Apolemichthys trimaculatus,Apolemichthys trimaculatus,25,SI
APVI,Very low,Aprion virescens,Aprion virescens,112,Pisc
ARME,Low,Arothron meleagris,Arothron meleagris,50,Cor
ARNI,Low,Arothron nigropunctatus,Arothron nigropunctatus,33,Cor
ARST,Low,Arothron stellatus,Arothron stellatus,120,Cor
AUCH,Very low,Aulostomus chinensis,Aulostomus chinensis,80,Pisc
BAUN,Very low,Balistapus undulatus,Balistapus undulatus,30,MI
BLEN,High,,Blenniidae,16.6,Pk
BOAX,Very low,Bodianus axillaris,Bodianus axillaris,20,MI
BOLO,Very low,Bodianus loxozonus,Bodianus loxozonus,40,MI
BOME,High,Bodianus mesothorax,Bodianus mesothorax,19,MI
CAAM,Medium,Canthigaster amboinensis,Canthigaster amboinensis,14,H
CACA,Negligible,Calotomus carolinus,Calotomus carolinus,54,H
CACE,Very low,Caesio caerulaurea,Caesio caerulaurea,35,Pk
CADU,Low,Cantherhines dumerilii,Cantherhines dumerilii,38,Om
CAFE,Very low,Carangoides ferdau,Carangoides ferdau,70,Pisc
CAJN,Medium,Canthigaster janthinoptera,Canthigaster janthinoptera,9,H
CAME,Very low,Caranx melampygus,Caranx melampygus,117,Pisc
CAOR,Very low,Carangoides orthogrammus,Carangoides orthogrammus,70,Pisc
CAPA,Negligible,Cantherhines pardalis,Cantherhines pardalis,25,H
CARD,High,,Apogonidae,16,Pk
CASO,Medium,Canthigaster solandri,Canthigaster solandri,11,H
CATE,Very low,Caesio teres,Caesio teres,40,Pk
CEAR,Very low,Cephalopholis argus,Cephalopholis argus,60,Pisc
CEBC,Medium,Centropyge bicolor,Centropyge bicolor,15,H
CEBI,Medium,Centropyge bispinosa,Centropyge bispinosa,10,H
CEFI,Medium,Centropyge fisheri,Centropyge fisheri,7.5,H
CEFL,Medium,Centropyge flavissima,Centropyge flavissima,14,H
CEHE,Medium,Centropyge heraldi,Centropyge heraldi,10,H
CELE,Very low,Cephalopholis leopardus,Cephalopholis leopardus,20,Pisc
CELO,Medium,Centropyge loricula,Centropyge loricula,10,H
CEOC,Negligible,Cetoscarus ocellatus,Cetoscarus ocellatus,90,H
CEUR,Very low,Cephalopholis urodeta,Cephalopholis urodeta,28,Pisc
CHAC,High,Chromis acares,Chromis acares,6,Pk
CHAL,High,Chromis alpha,Chromis alpha,8.5,Pk
CHAM,Medium,Chromis amboinensis,Chromis amboinensis,8,H
CHAU,Negligible,Chaetodon auriga,Chaetodon auriga,23,SI
CHBE,High,Chaetodon bennetti,Chaetodon bennetti,18,MI
CHBR,Medium,Chrysiptera brownriggii,Chrysiptera brownriggii,9,H
CHCI,Very high,Chaetodon citrinellus,Chaetodon citrinellus,13,Cor
CHCL,Very low,Cheilinus chlorourus,Cheilinus chlorourus,32,MI
CHEI,Very low,,Cheilinus sp,45,MI
CHEP,Negligible,Chaetodon ephippium,Chaetodon ephippium,23,MI
CHFA,Very low,Cheilinus fasciatus,Cheilinus fasciatus,36,MI
CHFN,Negligible,Chlorurus frontalis,Chlorurus frontalis,50,H
CHIO,Medium,Chromis iomelas,Chromis iomelas,8,H
CHJA,Negligible,Chlorurus japanensis,Chlorurus japanensis,31,H
CHJO,High,,Choerodon jordani,18,Om
CHLI,Negligible,Chaetodon lineolatus,Chaetodon lineolatus,30,SI
CHLT,Very high,Chaetodon lunulatus,Chaetodon lunulatus,15,Cor
CHLU,Negligible,Chaetodon lunula,Chaetodon lunula,21,SI
CHMA,High,Chromis margaritifer,Chromis margaritifer,8,Pk
CHMC,Negligible,Chlorurus microrhinos,Chlorurus microrhinos,80,H
CHOR,Very high,Chaetodon ornatissimus,Chaetodon ornatissimus,20,Cor
CHOX,High,Cheilinus oxycephalus,Cheilinus oxycephalus,17,MI
CHPW,Very high,Chaetodon pelewensis,Chaetodon pelewensis,13,Cor
CHQN,High,Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,12,MI
CHQU,Very high,Chaetodon quadrimaculatus,Chaetodon quadrimaculatus,16,Cor
CHRE,Very high,Chaetodon reticulatus,Chaetodon reticulatus,18,Cor
CHSE,Negligible,Chaetodon semeion,Chaetodon semeion,24,H
CHSO,Negligible,Chlorurus sordidus,Chlorurus sordidus,40,H
CHTA,Medium,Chrysiptera taupou,Chrysiptera taupou,8,H
CHTE,High,Chromis ternatensis,Chromis ternatensis,8,Pk
CHTL,Very low,Cheilinus trilobatus,Cheilinus trilobatus,45,MI
CHTR,Very high,Chaetodon trifascialis,Chaetodon trifascialis,18,Cor
CHUB,Negligible,,Kyphosus sp,75,H
CHUD,Very low,Cheilinus undulatus,Cheilinus undulatus,229,MI
CHUL,High,Chaetodon ulietensis,Chaetodon ulietensis,15,MI
CHUN,Low,Chaetodon unimaculatus,Chaetodon unimaculatus,20,Cor
CHVA,High,Chromis vanderbilti,Chromis vanderbilti,15,Pk
CHVG,Very low,Chaetodon vagabundus,Chaetodon vagabundus,23,SI
CHVR,High,Chromis viridis,Chromis viridis,8,Pk
CHWE,High,Chromis weberi,Chromis weberi,12,Pk
CHXA,High,Chromis xanthura,Chromis xanthura,15,Pk
CIFL,High,Cirrhitichthys falco,Cirrhitichthys falco,9,MI
CILB,High,,Cirrhilabrus sp,15,Pk
CISP,Medium,,Cirripectes sp,10,H
CIVR,Medium,Cirripectes variolosus,Cirripectes variolosus,10,H
COAY,Very low,Coris aygula,Coris aygula,120,MI
COGA,Negligible,Coris gaimard,Coris gaimard,40,MI
CTBI,Negligible,Ctenochaetus binotatus,Ctenochaetus binotatus,22,H
CTCY,Negligible,Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,20,H
CTFL,Medium,Ctenochaetus flavicauda,Ctenochaetus flavicauda,17,H
CTSR,Negligible,Ctenochaetus striatus,Ctenochaetus striatus,28,H
DAAU,High,Dascyllus auripinnis,Dascyllus auripinnis,16,Pk
DAMS,High,,Pomacentridae,17.8,Om
DARE,High,Dascyllus reticulatus,Dascyllus reticulatus,8,Pk
DATR,High,Dascyllus trimaculatus,Dascyllus trimaculatus,14,Pk
ECBC,High,Ecsenius bicolor,Ecsenius bicolor,10,Pk
EPFA,Very low,Epinephelus fasciatus,Epinephelus fasciatus,43,Pisc
EPHE,Very low,Epinephelus hexagonatus,Epinephelus hexagonatus,26,Pisc
EPIN,Negligible,Epibulus insidiator,Epibulus insidiator,54,MI
EPME,Very low,Epinephelus merra,Epinephelus merra,33,Pisc
EPPO,Very low,Epinephelus polyphekadion,Epinephelus polyphekadion,75,Pisc
EPSL,Very low,Epinephelus spilotoceps,Epinephelus spilotoceps,35,Pisc
EPSP,Very low,,Epinephelus sp,128,Pisc
FISH,Very low,,Un-id fish sp,999,X
FOFL,Medium,Forcipiger flavissimus,Forcipiger flavissimus,22,SI
FOLO,Medium,Forcipiger longirostris,Forcipiger longirostris,22,MI
GNAU,Very low,Gnathodentex aureolineatus,Gnathodentex aureolineatus,30,MI
GNSP,Negligible,Gnathanodon speciosus,Gnathanodon speciosus,74.5,Pisc
GOAT,Very low,,Mullidae,50,MI
GOBI,Very low,,Gobiidae,36.5,MI
GOVA,Negligible,Gomphosus varius,Gomphosus varius,32,MI
GRAL,Very low,Gracila albomarginata,Gracila albomarginata,50,Pisc
GYUC,Very low,Gymnosarda unicolor,Gymnosarda unicolor,248,Pisc
HABI,High,Halichoeres biocellatus,Halichoeres biocellatus,12,MI
HAHO,Very low,Halichoeres hortulanus,Halichoeres hortulanus,27,MI
HAMA,High,Halichoeres marginatus,Halichoeres marginatus,18,MI
HAME,High,Halichoeres melasmapomus,Halichoeres melasmapomus,14,MI
HAMT,High,Halichoeres margaritaceus,Halichoeres margaritaceus,13,MI
HAOR,Medium,Halichoeres ornatissimus,Halichoeres ornatissimus,15,MI
HAPR,High,Halichoeres prosopeion,Halichoeres prosopeion,16,MI
HATR,Very low,Halichoeres trimaculatus,Halichoeres trimaculatus,27,MI
HECH,Very high,Heniochus chrysostomus,Heniochus chrysostomus,18,Cor
HEFA,Very low,Hemigymnus fasciatus,Hemigymnus fasciatus,50,MI
HEME,Very low,Hemigymnus melapterus,Hemigymnus melapterus,60,MI
HEPO,High,Hemitaurichthys polylepis,Hemitaurichthys polylepis,18,Pk
HESI,Low,Heniochus singularius,Heniochus singularius,30,Cor
HEVA,Very high,Heniochus varius,Heniochus varius,19,Cor
HILO,Negligible,Hipposcarus longiceps,Hipposcarus longiceps,60,H
HODO,Very low,Hologymnosus doliatus,Hologymnosus doliatus,40,MI
LABI,High,Labroides bicolor,Labroides bicolor,14,MI
LADI,High,Labroides dimidiatus,Labroides dimidiatus,12,MI
