,Watershed,N,Complexity
1,Aasu,16,0.50796875
2,Afao - Asili,5,0.6783
3,Afono,5,0.84475
4,Alao,2,1.03125
5,Alega,3,0.677083333
6,Amanave,1,0.74375
7,Amouli,6,0.461791667
8,Aoloau Sasae,10,0.628625
9,Aoloau Sisifo,4,0.6965
10,Auasi,7,0.489464286
11,Aunuu,30,0.234858333
12,Faga'alu,24,0.556875
13,Fagaitua,11,0.563977273
14,Fagalii,6,0.476833333
15,Fagamalo,12,0.717895833
16,Fagasa,3,0.641
17,Fagatele - Larsen,39,0.629185897
18,Fagatuitui - Vaaogeoge,13,0.479769231
19,Laulii - Aumi,4,0.5190625
20,Leone,22,0.737727273
21,Maloata,2,0.483
22,Masausi,3,0.552916667
23,Masefau,7,0.56675
24,Matuu - Faganeanea,11,0.626840909
25,Nua - Seetaga,12,0.735270833
26,Nuuuli Pala,10,0.493875
27,Onenoa,2,1.136
28,Outer Banks,37,0.352199324
29,Pago Pago Harbor,3,0.657916667
30,Poloa,4,0.570625
31,Sailele,8,0.90875
32,Tafuna Plain,12,0.463354167
33,Tula,10,0.468875
34,Vatia,52,0.562341346
