"","Watershed","grazingAlgalProdRatio"
"1","Aasu",-0.142926751834839
"2","Afao - Asili",-0.0309439469958938
"3","Afono",-0.157648707560171
"4","Alao",0.678081278653582
"5","Alega",-0.267696419375303
"6","Amanave",0.235828906168468
"7","Amouli",-0.232300492137188
"8","Aoloau Sasae",-0.172780962608112
"9","Aoloau Sisifo",-0.0953701103589905
"10","Auasi",-0.179224145499995
"11","Aunuu",-0.612964154920022
"12","Faga'alu",-0.298977690350933
"13","Fagaitua",-0.245059171726464
"14","Fagalii",-0.405258422188316
"15","Fagamalo",-0.0145259729382444
"16","Fagasa",-0.312483555818051
"17","Fagatele - Larsen",-0.0524890540824503
"18","Fagatuitui - Vaaogeoge",-0.137196942299028
"19","Laulii - Aumi",-0.565173750614997
"20","Leone",-0.027365387861726
"21","Maloata",-0.247835741140971
"22","Masausi",-0.305749860022671
"23","Masefau",0.678140568748262
"24","Matuu - Faganeanea",-0.135430055971333
"25","Nua - Seetaga",-0.134671549855485
"26","Nuuuli Pala",-0.417352809533104
"27","Onenoa",0.104621586236006
"28","Outer Banks",-0.142570976941997
"29","Pago Pago Harbor",-0.161390864593204
"30","Poloa",-0.0614881547096416
"31","Sailele",-0.215142759754981
"32","Tafuna Plain",-0.225496522729535
"33","Tula",-0.322292897738573
"34","Vatia",0.17473451252238
