"","Watershed","herbDiversity"
"1","Aasu",0.748843042597954
"2","Afao - Asili",0.830803694399272
"3","Afono",0.790331810433205
"4","Alao",0.711293537944301
"5","Alega",0.78649335364642
"6","Amanave",0.82824374981828
"7","Amouli",0.774890785759243
"8","Aoloau Sasae",0.82995572223966
"9","Aoloau Sisifo",0.832274934183143
"10","Auasi",0.811082955115425
"11","Aunuu",0.67887799214714
"12","Faga'alu",0.688652476961666
"13","Fagaitua",0.773424374752873
"14","Fagalii",0.747559269733517
"15","Fagamalo",0.822682579897244
"16","Fagasa",0.805494511104746
"17","Fagatele - Larsen",0.7719311246224
"18","Fagatuitui - Vaaogeoge",0.77420662487809
"19","Laulii - Aumi",0.700812669930732
"20","Leone",0.760496608258695
"21","Maloata",0.702224950001332
"22","Masausi",0.818863040636402
"23","Masefau",0.797983921643648
"24","Matuu - Faganeanea",0.736338406526481
"25","Nua - Seetaga",0.797742680623057
"26","Nuuuli Pala",0.781308309985605
"27","Onenoa",0.823476093252289
"28","Outer Banks",0.752904711713767
"29","Pago Pago Harbor",0.486441882293988
"30","Poloa",0.788846939774687
"31","Sailele",0.75565557177867
"32","Tafuna Plain",0.764012749305351
"33","Tula",0.725826159774219
"34","Vatia",0.815857683295386
