"","Watershed","MA Cover"
"1","Aasu",5.07894736842105
"2","Afao - Asili",4.17857142857143
"3","Afono",6.4
"4","Alao",3.3125
"5","Alega",13.2857142857143
"6","Amanave",0.5
"7","Amouli",9.84375
"8","Aoloau Sasae",4.5
"9","Aoloau Sisifo",5.08333333333333
"10","Auasi",2.34375
"11","Faga'alu",16.6458333333333
"12","Fagaitua",12.4117647058824
"13","Fagalii",2.5625
"14","Fagamalo",3.79411764705882
"15","Fagasa",11
"16","Fagatele - Larsen",2.96511627906977
"17","Fagatuitui - Vaaogeoge",4.28125
"18","Laulii - Aumi",21.125
"19","Leone",2.19736842105263
"20","Maloata",5.25
"21","Masausi",3.82142857142857
"22","Masefau",8.75
"23","Matuu - Faganeanea",17.7333333333333
"24","Nua - Seetaga",12.9166666666667
"25","Nuuuli Pala",6.48214285714286
"26","Onenoa",4.625
"27","Outer Banks",9.63333333333333
"28","Pago Pago Harbor",14.6666666666667
"29","Poloa",0.714285714285714
"30","Sailele",6.625
"31","Tafuna Plain",4.33333333333333
"32","Tula",5.5
"33","Vatia",7.36607142857143
"34","Aunuu",17.1
