SITE,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,SITEVISITID.x,METHOD,REGION_NAME,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,DATE_.x,LATITUDE.x,LONGITUDE.x,DEPTH,ANALYSIS_SCHEME,Watershed,fishSuscept
TUT-02305,2016,SAMOA,Tutuila,Forereef,Shallow,9414,nSPC,American Samoa,TUT_NW,2016,ForereefShallow,2016-04-26,-14.289558,-170.74007,3.8,AS_SANCTUARY,Aasu,2.8019801980198
TUT-02299,2016,SAMOA,Tutuila,Forereef,Shallow,9476,nSPC,American Samoa,TUT_NW,2016,ForereefShallow,2016-04-30,-14.288523,-170.739988,4.3,AS_SANCTUARY,Aasu,3.10491071428571
TUT-02283,2016,SAMOA,Tutuila,Forereef,Mid,9413,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.29012,-170.758295,8.55,AS_SANCTUARY,Aasu,2.71895424836601
TUT-01079,2015,SAMOA,Tutuila,Forereef,Mid,8224,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-04,-14.28069745,-170.73167972,10.7,AS_SANCTUARY,Aasu,2.71162790697674
TUT-02282,2016,SAMOA,Tutuila,Forereef,Mid,9479,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-30,-14.28101,-170.732824,10.95,AS_SANCTUARY,Aasu,3.2695652173913
TUT-02284,2016,SAMOA,Tutuila,Forereef,Mid,9408,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.290654,-170.744512,11.1,AS_SANCTUARY,Aasu,2.17401392111369
TUT-02294,2016,SAMOA,Tutuila,Forereef,Mid,9420,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.288876,-170.742567,16.35,AS_SANCTUARY,Aasu,2.74061433447099
TUT-02263,2016,SAMOA,Tutuila,Forereef,Mid,9486,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-30,-14.280773,-170.73305,17.4,AS_SANCTUARY,Aasu,2.58019801980198
TUT-02261,2016,SAMOA,Tutuila,Forereef,Deep,9480,nSPC,American Samoa,TUT_NW,2016,ForereefDeep,2016-04-30,-14.283211,-170.735238,23.3,AS_SANCTUARY,Aasu,2.53153153153153
TUT-01214,2015,SAMOA,Tutuila,Forereef,Deep,8225,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-04,-14.28867191,-170.75800309,26.15,AS_SANCTUARY,Aasu,1.2
TUT-01024,2015,SAMOA,Tutuila,Forereef,Deep,8214,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-04,-14.27826268,-170.73883183,28.5,AS_SANCTUARY,Aasu,1.92857142857143
TUT-00056,2008,SAMOA,Tutuila,Forereef,Mid,1267,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-20,-14.290533,-170.748417,6.5,RAMP_BASIC,Aasu,2.75285171102662
TUT-00012,2008,SAMOA,Tutuila,Forereef,Mid,1263,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-20,-14.28988,-170.75945,10,RAMP_BASIC,Aasu,1.64870689655172
TUT-00421,2010,SAMOA,Tutuila,Forereef,Shallow,2217,nSPC,American Samoa,TUT_NW,2010,ForereefShallow,2010-02-22,-14.29056,-170.75977,3,TUT10_12,Aasu,1.77777777777778
TUT-00503,2012,SAMOA,Tutuila,Forereef,Mid,4462,nSPC,American Samoa,TUT_NW,2012,ForereefMid,2012-04-02,-14.28200201,-170.73300641,8.05,TUT10_12,Aasu,3.11171662125341
TUT-00596,2012,SAMOA,Tutuila,Forereef,Mid,4469,nSPC,American Samoa,TUT_NW,2012,ForereefMid,2012-04-02,-14.29241887,-170.75163192,10.7,TUT10_12,Aasu,2.68281938325991
TUT-00563,2012,SAMOA,Tutuila,Forereef,Mid,4468,nSPC,American Samoa,TUT_NW,2012,ForereefMid,2012-04-02,-14.28918606,-170.74226322,12.5,TUT10_12,Aasu,2.88983050847458
TUT-00276,2010,SAMOA,Tutuila,Forereef,Deep,2216,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-02-22,-14.28876,-170.75703,21.5,TUT10_12,Aasu,2.30769230769231
TUT-00527,2012,SAMOA,Tutuila,Forereef,Deep,4463,nSPC,American Samoa,TUT_NW,2012,ForereefDeep,2012-04-02,-14.2876572,-170.75897279,24.8,TUT10_12,Aasu,2.31906614785992
TUT-00206,2010,SAMOA,Tutuila,Forereef,Deep,2335,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-03-07,-14.27647,-170.73969,25,TUT10_12,Aasu,1.78240740740741
TUT-00548,2012,SAMOA,Tutuila,Forereef,Deep,4467,nSPC,American Samoa,TUT_NW,2012,ForereefDeep,2012-04-02,-14.27824734,-170.73565719,27.25,TUT10_12,Aasu,2.8364312267658
TUT-01110,2015,SAMOA,Tutuila,Forereef,Shallow,8274,nSPC,American Samoa,TUT_SW,2015,ForereefShallow,2015-03-06,-14.33655119,-170.79437845,3.75,AS_SANCTUARY,Afao - Asili,2.59929078014184
TUT-02393,2016,SAMOA,Tutuila,Forereef,Mid,9311,nSPC,American Samoa,TUT_SW,2016,ForereefMid,2016-04-16,-14.335391,-170.802619,10.05,AS_SANCTUARY,Afao - Asili,2.83835616438356
TUT-02369,2016,SAMOA,Tutuila,Forereef,Mid,9322,nSPC,American Samoa,TUT_SW,2016,ForereefMid,2016-04-16,-14.335842,-170.795809,13.4,AS_SANCTUARY,Afao - Asili,2.44744744744745
TUT-01250,2015,SAMOA,Tutuila,Forereef,Deep,8243,nSPC,American Samoa,TUT_SW,2015,ForereefDeep,2015-03-05,-14.33824391,-170.80395067,23.65,AS_SANCTUARY,Afao - Asili,2.2533692722372
TUT-00451,2010,SAMOA,Tutuila,Forereef,Shallow,2269,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-28,-14.33398,-170.8015,3.5,TUT10_12,Afao - Asili,2.61176470588235
TUT-00242,2010,SAMOA,Tutuila,Forereef,Shallow,2191,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-20,-14.33475,-170.80322,4.5,TUT10_12,Afao - Asili,2.48717948717949
TUT-00546,2012,SAMOA,Tutuila,Forereef,Mid,4478,nSPC,American Samoa,TUT_SW,2012,ForereefMid,2012-04-03,-14.33572196,-170.79618509,13.05,TUT10_12,Afao - Asili,1.60050890585242
TUT-02346,2016,SAMOA,Tutuila,Forereef,Shallow,9466,nSPC,American Samoa,TUT_NE,2016,ForereefShallow,2016-04-29,-14.251465,-170.642726,4.35,AS_SANCTUARY,Afono,2.9319587628866
TUT-01154,2015,SAMOA,Tutuila,Forereef,Shallow,8136,nSPC,American Samoa,TUT_NE,2015,ForereefShallow,2015-02-27,-14.25285554,-170.64565684,5.8,AS_SANCTUARY,Afono,2.30434782608696
TUT-01046,2015,SAMOA,Tutuila,Forereef,Mid,8135,nSPC,American Samoa,TUT_NE,2015,ForereefMid,2015-02-27,-14.25527698,-170.65260736,9.6,AS_SANCTUARY,Afono,2.65448504983389
TUT-02325,2016,SAMOA,Tutuila,Forereef,Mid,9461,nSPC,American Samoa,TUT_NE,2016,ForereefMid,2016-04-29,-14.251471,-170.641196,9.75,AS_SANCTUARY,Afono,2.69201520912548
TUT-00014,2008,SAMOA,Tutuila,Forereef,Mid,1258,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-19,-14.25372,-170.65259,12,RAMP_BASIC,Afono,3.01176470588235
TUT-00052,2008,SAMOA,Tutuila,Forereef,Deep,1260,nSPC,American Samoa,Tutuila,2008,ForereefDeep,2008-02-19,-14.24765,-170.645033,21.5,RAMP_BASIC,Afono,2.30397727272727
TUT-00598,2012,SAMOA,Tutuila,Forereef,Deep,4569,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-06,-14.24707403,-170.64620375,21.85,TUT10_12,Afono,2.66195372750643
TUT-01112,2015,SAMOA,Tutuila,Forereef,Mid,8209,nSPC,American Samoa,TUT_NE,2015,ForereefMid,2015-03-03,-14.26408871,-170.56189673,12.35,AS_SANCTUARY,Alao,2.93642611683849
TUT-00003,2008,SAMOA,Tutuila,Forereef,Mid,1283,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-23,-14.26753,-170.56151,11.25,RAMP_BASIC,Alao,2.5965811965812
TUT-00594,2012,SAMOA,Tutuila,Forereef,Shallow,4584,nSPC,American Samoa,TUT_NE,2012,ForereefShallow,2012-04-07,-14.26082437,-170.55996143,4.45,TUT10_12,Alao,2.93610223642173
TUT-00246,2010,SAMOA,Tutuila,Forereef,Shallow,2243,nSPC,American Samoa,TUT_NE,2010,ForereefShallow,2010-02-25,-14.2623,-170.56104,5.5,TUT10_12,Alao,1.97098214285714
TUT-00244,2010,SAMOA,Tutuila,Forereef,Mid,2242,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-25,-14.25912,-170.55797,13.5,TUT10_12,Alao,3.10817031070196
TUT-01239,2015,SAMOA,Tutuila,Forereef,Deep,8311,nSPC,American Samoa,TUT_SE,2015,ForereefDeep,2015-03-12,-14.28362626,-170.62850595,21.1,AS_SANCTUARY,Alega,2.56766917293233
TUT-00001,2008,SAMOA,Tutuila,Forereef,Mid,1292,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-25,-14.28443,-170.63793,11.25,RAMP_BASIC,Alega,2.22315436241611
TUT-00307,2010,SAMOA,Tutuila,Forereef,Shallow,2134,nSPC,American Samoa,TUT_SE,2010,ForereefShallow,2010-02-17,-14.28602,-170.63841,4.5,TUT10_12,Alega,2.67044025157233
TUT-00226,2010,SAMOA,Tutuila,Forereef,Shallow,2138,nSPC,American Samoa,TUT_SE,2010,ForereefShallow,2010-02-17,-14.28314,-170.63144,4.5,TUT10_12,Alega,2.92405063291139
TUT-00423,2010,SAMOA,Tutuila,Forereef,Shallow,2253,nSPC,American Samoa,TUT_SE,2010,ForereefShallow,2010-02-26,-14.28185,-170.63768,6.5,TUT10_12,Alega,2.57451923076923
TUT-00504,2012,SAMOA,Tutuila,Forereef,Mid,4453,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-01,-14.28248447,-170.6364887,11.85,TUT10_12,Alega,1.99166666666667
TUT-00513,2012,SAMOA,Tutuila,Forereef,Mid,4444,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-01,-14.288335,-170.63475,12.7,TUT10_12,Alega,1.84807256235828
TUT-00452,2010,SAMOA,Tutuila,Forereef,Mid,2249,nSPC,American Samoa,TUT_SE,2010,ForereefMid,2010-02-26,-14.28579,-170.63815,13.25,TUT10_12,Alega,2.65663716814159
TUT-01379,2015,SAMOA,Tutuila,Forereef,Mid,8273,nSPC,American Samoa,TUT_SW,2015,ForereefMid,2015-03-06,-14.32688727,-170.83272927,14.1,AS_SANCTUARY,Amanave,2.69585253456221
TUT-00006,2008,SAMOA,Tutuila,Forereef,Mid,1269,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-21,-14.32808,-170.8319,12,RAMP_BASIC,Amanave,2.96030534351145
TUT-00214,2010,SAMOA,Tutuila,Forereef,Shallow,2190,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-20,-14.3265,-170.83542,4.5,TUT10_12,Amanave,2.28495575221239
TUT-00337,2010,SAMOA,Tutuila,Forereef,Shallow,2273,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-28,-14.32524,-170.84183,5.5,TUT10_12,Amanave,2.48796498905908
TUT-00262,2010,SAMOA,Tutuila,Forereef,Shallow,2272,nSPC,American Samoa,TUT_SW,2010,ForereefShallow,2010-02-28,-14.32669,-170.83447,6,TUT10_12,Amanave,2.3290113452188
TUT-00353,2010,SAMOA,Tutuila,Forereef,Mid,2193,nSPC,American Samoa,TUT_SW,2010,ForereefMid,2010-02-20,-14.32988,-170.83168,10.5,TUT10_12,Amanave,3.0426638917794
TUT-01095,2015,SAMOA,Tutuila,Forereef,Shallow,8179,nSPC,American Samoa,TUT_SE,2015,ForereefShallow,2015-03-02,-14.2831396,-170.59820613,4.1,AS_SANCTUARY,Amouli,3.19230769230769
TUT-01240,2015,SAMOA,Tutuila,Forereef,Mid,8174,nSPC,American Samoa,TUT_SE,2015,ForereefMid,2015-03-02,-14.28007015,-170.58951376,10.4,AS_SANCTUARY,Amouli,3.1878453038674
TUT-01226,2015,SAMOA,Tutuila,Forereef,Mid,8149,nSPC,American Samoa,TUT_SE,2015,ForereefMid,2015-02-28,-14.28648759,-170.60070268,15.2,AS_SANCTUARY,Amouli,2.70642201834862
TUT-00065,2008,SAMOA,Tutuila,Forereef,Deep,1285,nSPC,American Samoa,Tutuila,2008,ForereefDeep,2008-02-23,-14.284133,-170.594867,22,RAMP_BASIC,Amouli,2.9853249475891
TUT-00661,2012,SAMOA,Tutuila,Forereef,Shallow,4578,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-04-07,-14.28113121,-170.59382499,4.1,TUT10_12,Amouli,2.79283887468031
TUT-00317,2010,SAMOA,Tutuila,Forereef,Mid,2175,nSPC,American Samoa,TUT_SE,2010,ForereefMid,2010-02-19,-14.28333,-170.59865,13.5,TUT10_12,Amouli,2.41164241164241
TUT-00537,2012,SAMOA,Tutuila,Forereef,Mid,4599,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-08,-14.2815887,-170.59484926,14.6,TUT10_12,Amouli,3.41627906976744
TUT-00534,2012,SAMOA,Tutuila,Forereef,Mid,4601,nSPC,American Samoa,TUT_SE,2012,ForereefMid,2012-04-08,-14.2852733,-170.60012483,18.3,TUT10_12,Amouli,2.70798898071625
TUT-00313,2010,SAMOA,Tutuila,Forereef,Deep,2163,nSPC,American Samoa,TUT_SE,2010,ForereefDeep,2010-02-19,-14.27946,-170.58725,25,TUT10_12,Amouli,2.44636678200692
TUT-01062,2015,SAMOA,Tutuila,Forereef,Shallow,8161,nSPC,American Samoa,TUT_NW,2015,ForereefShallow,2015-03-01,-14.29200682,-170.77328615,4.25,AS_SANCTUARY,Aoloau Sasae,2.38157894736842
TUT-02302,2016,SAMOA,Tutuila,Forereef,Shallow,9411,nSPC,American Samoa,TUT_NW,2016,ForereefShallow,2016-04-26,-14.292735,-170.780252,6.9,AS_SANCTUARY,Aoloau Sasae,2.81081081081081
TUT-01199,2015,SAMOA,Tutuila,Forereef,Mid,8216,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-04,-14.28694172,-170.76149466,9.25,AS_SANCTUARY,Aoloau Sasae,2.98382352941176
TUT-02290,2016,SAMOA,Tutuila,Forereef,Mid,9412,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.288525,-170.768884,11.2,AS_SANCTUARY,Aoloau Sasae,2.98187808896211
TUT-02285,2016,SAMOA,Tutuila,Forereef,Mid,9407,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.291442,-170.773782,11.25,AS_SANCTUARY,Aoloau Sasae,2.75149700598802
TUT-01043,2015,SAMOA,Tutuila,Forereef,Mid,8163,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-01,-14.28764462,-170.78198707,12.1,AS_SANCTUARY,Aoloau Sasae,3.23094688221709
TUT-01257,2015,SAMOA,Tutuila,Forereef,Mid,8164,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-01,-14.29101725,-170.77617304,13.2,AS_SANCTUARY,Aoloau Sasae,2.91891891891892
TUT-02274,2016,SAMOA,Tutuila,Forereef,Deep,9417,nSPC,American Samoa,TUT_NW,2016,ForereefDeep,2016-04-26,-14.286546,-170.76196,20.8,AS_SANCTUARY,Aoloau Sasae,2.74729241877256
TUT-01006,2015,SAMOA,Tutuila,Forereef,Deep,8226,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-04,-14.28800253,-170.78060556,23.35,AS_SANCTUARY,Aoloau Sasae,2.61627906976744
TUT-00008,2008,SAMOA,Tutuila,Forereef,Mid,1271,nSPC,American Samoa,Tutuila,2008,ForereefMid,2008-02-21,-14.29173,-170.78057,11.25,RAMP_BASIC,Aoloau Sasae,2.23255813953488
TUT-00057,2008,SAMOA,Tutuila,Forereef,Deep,1268,nSPC,American Samoa,Tutuila,2008,ForereefDeep,2008-02-20,-14.29015,-170.771233,21,RAMP_BASIC,Aoloau Sasae,2.95238095238095
TUT-00342,2010,SAMOA,Tutuila,Forereef,Shallow,2213,nSPC,American Samoa,TUT_NW,2010,ForereefShallow,2010-02-22,-14.29218,-170.7739,3,TUT10_12,Aoloau Sasae,3.13866666666667
TUT-00628,2012,SAMOA,Tutuila,Forereef,Shallow,4472,nSPC,American Samoa,TUT_NW,2012,ForereefShallow,2012-04-02,-14.29235945,-170.77362712,4.15,TUT10_12,Aoloau Sasae,1.98591549295775
TUT-00481,2010,SAMOA,Tutuila,Forereef,Mid,2230,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.29,-170.77087,9.5,TUT10_12,Aoloau Sasae,1.68674698795181
TUT-00303,2010,SAMOA,Tutuila,Forereef,Mid,2215,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.29028,-170.77148,13,TUT10_12,Aoloau Sasae,1.96323529411765
TUT-00484,2010,SAMOA,Tutuila,Forereef,Mid,2212,nSPC,American Samoa,TUT_NW,2010,ForereefMid,2010-02-22,-14.29105,-170.7765,16,TUT10_12,Aoloau Sasae,2.68600682593857
TUT-00457,2010,SAMOA,Tutuila,Forereef,Deep,2228,nSPC,American Samoa,TUT_NW,2010,ForereefDeep,2010-02-22,-14.28812,-170.78069,23,TUT10_12,Aoloau Sasae,2.64772727272727
TUT-01026,2015,SAMOA,Tutuila,Forereef,Shallow,8227,nSPC,American Samoa,TUT_NW,2015,ForereefShallow,2015-03-04,-14.29233262,-170.79328914,4.35,AS_SANCTUARY,Aoloau Sisifo,2.09032258064516
TUT-02296,2016,SAMOA,Tutuila,Forereef,Mid,9406,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.28733,-170.784499,13.5,AS_SANCTUARY,Aoloau Sisifo,2.44871794871795
TUT-02264,2016,SAMOA,Tutuila,Forereef,Deep,9410,nSPC,American Samoa,TUT_NW,2016,ForereefDeep,2016-04-26,-14.289231,-170.789957,21.85,AS_SANCTUARY,Aoloau Sisifo,2.97737556561086
