SITE,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,SITEVISITID,METHOD,REGION_NAME,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,DATE_.x,LATITUDE.x,LONGITUDE.x,DEPTH,ANALYSIS_SCHEME,Watershed,fishSuscept,RICHNESS
TUT-00219,2010,SAMOA,Tutuila,Forereef,Mid,2337,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-03-07,-14.23619,-170.66936,15,TUT10_12,Vatia,2.63847583643123,68
TUT-00236,2010,SAMOA,Tutuila,Forereef,Mid,2220,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-23,-14.24653,-170.66848,13,TUT10_12,Vatia,3.17283950617284,57
TUT-00379,2010,SAMOA,Tutuila,Forereef,Deep,2222,nSPC,American Samoa,TUT_NE,2010,ForereefDeep,2010-02-23,-14.22971,-170.67082,22.5,TUT10_12,Vatia,1.59941520467836,71
TUT-00491,2010,SAMOA,Tutuila,Forereef,Deep,2336,nSPC,American Samoa,TUT_NE,2010,ForereefDeep,2010-03-07,-14.24515,-170.67088,21,TUT10_12,Vatia,2.40760869565217,37
TUT-00516,2012,SAMOA,Tutuila,Forereef,Deep,4519,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-04,-14.23415777,-170.66948692,22.1,TUT10_12,Vatia,3.05442176870748,54
TUT-00551,2012,SAMOA,Tutuila,Forereef,Shallow,4399,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-03-25,-14.29116804,-170.67448287,3.45,TUT10_12,Faga'alu,3.11,34
TUT-00624,2012,SAMOA,Tutuila,Forereef,Deep,4610,nSPC,American Samoa,TUT_SE,2012,ForereefDeep,2012-04-09,-14.29230571,-170.67551518,26.35,TUT10_12,Faga'alu,3.16042780748663,38
TUT-00637,2012,SAMOA,Tutuila,Forereef,Shallow,4635,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-04-10,-14.29038668,-170.67546162,3.3,TUT10_12,Faga'alu,2.64772727272727,33
TUT-00691,2012,SAMOA,Tutuila,Forereef,Deep,4496,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-04,-14.23845073,-170.66871897,26.6,TUT10_12,Vatia,2.91948051948052,35
TUT-00704,2012,SAMOA,Tutuila,Forereef,Shallow,4609,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-09,-14.29315371,-170.67527353,2.1,RAMP_BASIC,Faga'alu,2.43122676579926,59
